2025-07-14 10:57:19,433 mlscoringinference [INFO | langfuse_client.py : <module> : 19] --> Langfuse client initialized successfully
2025-07-14 10:57:19,528 mlscoringinference [INFO | assistant_tool.py : TradingAgent : 24] --> Trading Agent Call.
2025-07-14 10:57:19,528 mlscoringinference [INFO | assistant_tool.py : ReportAgent : 52] --> Report Agent Call.
2025-07-14 10:57:19,528 mlscoringinference [INFO | assistant_tool.py : AccountAgent : 93] --> Account Agent Call.
2025-07-14 10:57:19,528 mlscoringinference [INFO | assistant_tool.py : InformationCentreAgent : 135] --> Information Centre Agent Call.
2025-07-14 10:57:19,528 mlscoringinference [INFO | assistant_tool.py : FundAgent : 166] --> Fund Agent Call.
2025-07-14 10:57:19,528 mlscoringinference [INFO | assistant_tool.py : DPAgent : 193] --> DP Agent Call.
2025-07-14 10:57:19,546 mlscoringinference [INFO | llm_models.py : get_llm_model : 30] --> Using default model ID: anthropic.claude-3-sonnet-20240229-v1:0
2025-07-14 10:57:19,546 mlscoringinference [INFO | llm_models.py : get_llm_model : 34] --> Initializing ChatBedrockConverse model
2025-07-14 10:57:19,546 mlscoringinference [INFO | llm_models.py : get_llm_model : 43] --> ChatBedrockConverse model initialized successfully
2025-07-14 10:57:19,556 mlscoringinference [INFO | llm_models.py : get_llm_model : 30] --> Using default model ID: anthropic.claude-3-sonnet-20240229-v1:0
2025-07-14 10:57:19,556 mlscoringinference [INFO | llm_models.py : get_llm_model : 34] --> Initializing ChatBedrockConverse model
2025-07-14 10:57:19,558 mlscoringinference [INFO | llm_models.py : get_llm_model : 43] --> ChatBedrockConverse model initialized successfully
2025-07-14 10:57:19,561 mlscoringinference [INFO | llm_models.py : get_llm_model : 30] --> Using default model ID: anthropic.claude-3-sonnet-20240229-v1:0
2025-07-14 10:57:19,561 mlscoringinference [INFO | llm_models.py : get_llm_model : 34] --> Initializing ChatBedrockConverse model
2025-07-14 10:57:19,561 mlscoringinference [INFO | llm_models.py : get_llm_model : 43] --> ChatBedrockConverse model initialized successfully
2025-07-14 10:57:19,603 mlscoringinference [INFO | react_tool.py : <module> : 155] --> Initializing basic tools...
2025-07-14 10:57:19,609 mlscoringinference [INFO | llm_models.py : get_llm_model : 30] --> Using default model ID: anthropic.claude-3-sonnet-20240229-v1:0
2025-07-14 10:57:19,609 mlscoringinference [INFO | llm_models.py : get_llm_model : 34] --> Initializing ChatBedrockConverse model
2025-07-14 10:57:19,612 mlscoringinference [INFO | llm_models.py : get_llm_model : 43] --> ChatBedrockConverse model initialized successfully
2025-07-14 10:57:19,612 mlscoringinference [INFO | langgraph_builder.py : <module> : 71] --> ChatBedrockConverse model initialized successfully
2025-07-14 10:57:19,612 mlscoringinference [INFO | langgraph_builder.py : <module> : 73] --> Rannnable Importing.
2025-07-14 10:57:19,612 mlscoringinference [INFO | react_agent.py : get_runnable_react : 36] --> React agent for report_agent_schema Creating...
2025-07-14 10:57:19,616 mlscoringinference [INFO | json_utils.py : load_json_file : 53] --> Loading JSON file from path: C:\Users\rohangupta\Documents\new-voice-agent-chatbot_wrapper\voice_agent\chatbot_backend\agentic_flow\openapi_schema\report_agent_schema.json
2025-07-14 10:57:19,620 mlscoringinference [INFO | react_agent.py : get_runnable_react : 44] --> API Specification loaded.
2025-07-14 10:57:19,626 mlscoringinference [INFO | react_agent.py : get_runnable_react : 50] --> React agent runnable for report_agent_schema created successfully.
2025-07-14 10:57:19,626 mlscoringinference [INFO | react_agent.py : get_runnable_react : 36] --> React agent for account_agent_schema Creating...
2025-07-14 10:57:19,626 mlscoringinference [INFO | json_utils.py : load_json_file : 53] --> Loading JSON file from path: C:\Users\rohangupta\Documents\new-voice-agent-chatbot_wrapper\voice_agent\chatbot_backend\agentic_flow\openapi_schema\account_agent_schema.json
2025-07-14 10:57:19,631 mlscoringinference [INFO | json_utils.py : load_json_file : 53] --> Loading JSON file from path: C:\Users\rohangupta\Documents\new-voice-agent-chatbot_wrapper\voice_agent\chatbot_backend\agentic_flow\openapi_schema\account_agent_static_data.json
2025-07-14 10:57:19,633 mlscoringinference [INFO | react_agent.py : get_runnable_react : 44] --> API Specification loaded.
2025-07-14 10:57:19,637 mlscoringinference [INFO | react_agent.py : get_runnable_react : 50] --> React agent runnable for account_agent_schema created successfully.
2025-07-14 10:57:19,637 mlscoringinference [INFO | react_agent.py : get_runnable_react : 36] --> React agent for fund_agent_schema Creating...
2025-07-14 10:57:19,637 mlscoringinference [INFO | json_utils.py : load_json_file : 53] --> Loading JSON file from path: C:\Users\rohangupta\Documents\new-voice-agent-chatbot_wrapper\voice_agent\chatbot_backend\agentic_flow\openapi_schema\fund_agent_schema.json
2025-07-14 10:57:19,641 mlscoringinference [INFO | react_agent.py : get_runnable_react : 44] --> API Specification loaded.
